pmid,pmcid,doi,secondary_doi,collection_id,collection_name,source,image_name,map_type,image_file,collection_id.1,image_id,number_of_subjects,cognitive_paradigm_cogatlas_id,cognitive_contrast_cogatlas_id,contrast_definition,cognitive_paradigm_cogatlas_name,cognitive_contrast_cogatlas_name,image_path,contrast_id,id
28948083.0,5607552.0,10.1002/brb3.789,,1626,Predictive processing increases intelligibility of acoustically distorted speech: Behavioral and neural correlates,neurovault,1st presentation of distorted sentences,T,images/1626/spmT_0001.nii.gz,1626,24447,20.0,trm_5519c3eaa3fb7,,,Speech Detection,None / Other,1626-24447_spmT_0001.nii.gz,"collection_id    1626
collection_id    1626
Name: 0, dtype: object-24447","28948083.0-collection_id    1626
collection_id    1626
Name: 0, dtype: object-24447"
26434803.0,4651739.0,10.1016/j.neuroimage.2015.09.063,,1827,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts,neurovault,Regression of Negative Family Relationships,T,images/1827/spmT_0001.nii.gz,1827,28448,20.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,Nogo T2 > Nogo T1,go/no-go task,Go trials,1827-28448_spmT_0001.nii.gz,"collection_id    1827
collection_id    1827
Name: 1, dtype: object-28448","26434803.0-collection_id    1827
collection_id    1827
Name: 1, dtype: object-28448"
28168598.0,5403860.0,10.3758/s13415-017-0497-9,,1932,Brain activity underlying negative self- and other-perception in adolescents: The role of attachment-derived self-representations,neurovault,Adjective attribution: self negative VERSUS other negative,T,images/1932/spmT_0001_7.nii.gz,1932,29372,44.0,trm_553fd2fc7a648,Other,Adjective attribution: self negative VERSUS other negative,complex trait judgment task,Other,1932-29372_spmT_0001_7.nii.gz,"collection_id    1932
collection_id    1932
Name: 2, dtype: object-29372","28168598.0-collection_id    1932
collection_id    1932
Name: 2, dtype: object-29372"
28948083.0,5607552.0,10.1002/brb3.789,,1626,Predictive processing increases intelligibility of acoustically distorted speech: Behavioral and neural correlates,neurovault,2nd presentation of distorted sentences,T,images/1626/spmT_0001_2.nii.gz,1626,24449,20.0,trm_5519c3eaa3fb7,,,Speech Detection,None / Other,1626-24449_spmT_0001_2.nii.gz,"collection_id    1626
collection_id    1626
Name: 3, dtype: object-24449","28948083.0-collection_id    1626
collection_id    1626
Name: 3, dtype: object-24449"
34469813.0,,10.1016/j.neuroimage.2021.118534,,8736,Touching events predict human action segmentation in brain and behavior,neurovault,Supplementary Table 5: T > nTU,T,images/8736/GLMpara_T_nTU_spmT_0001.nii.gz,8736,446084,31.0,tsk_4a57abb949846,cnt_4e08fefbf0382,,action observation task,standard deviation from the mean accuracy score,8736-446084_GLMpara_T_nTU_spmT_0001.nii.gz,"collection_id    8736
collection_id    8736
Name: 4, dtype: object-446084","34469813.0-collection_id    8736
collection_id    8736
Name: 4, dtype: object-446084"
26539094.0,4611149.0,10.3389/fnhum.2015.00553,,1649,Being asked to tell an unpleasant truth about another person activates anterior insula and medial prefrontal cortex,neurovault,Social > simple truth telling,T,images/1649/con_0001.nii.gz,1649,24538,23.0,trm_550b557e5f90e,cnt_55314940f18c6,,social cognition (theory of mind) fMRI task paradigm,Mental Interaction minus Random Interaction,1649-24538_con_0001.nii.gz,"collection_id    1649
collection_id    1649
Name: 5, dtype: object-24538","26539094.0-collection_id    1649
collection_id    1649
Name: 5, dtype: object-24538"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,across-group change for Go events,Z,images/1935/zstat5.nii.gz,1935,29375,44.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,,go/no-go task,Go trials,1935-29375_zstat5.nii.gz,"collection_id    1935
collection_id    1935
Name: 6, dtype: object-29375","28489500.0-collection_id    1935
collection_id    1935
Name: 6, dtype: object-29375"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Scrambled>Letterstrings controls,T,images/160/spmT_0002_2.nii.gz,160,735,20.0,trm_553e73e29cf7d,cnt_55413a0769113,reading of meaningful words presented in random order - viewing of meaningless letter stings (consonants) ,contextual semantic priming task,scrambled minus letter string,160-735_spmT_0002_2.nii.gz,"collection_id    160
collection_id    160
Name: 7, dtype: object-735","26341544.0-collection_id    160
collection_id    160
Name: 7, dtype: object-735"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Incongruent>Congruent patients,T,images/160/spmT_0003_1.nii.gz,160,757,20.0,trm_553e73e29cf7d,cnt_55413a264f834,,contextual semantic priming task,incongruent minus congruent,160-757_spmT_0003_1.nii.gz,"collection_id    160
collection_id    160
Name: 8, dtype: object-757","26341544.0-collection_id    160
collection_id    160
Name: 8, dtype: object-757"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Scrambled>Letterstrings controls>patients,T,images/160/spmT_0001_2.nii.gz,160,744,20.0,trm_553e73e29cf7d,cnt_55413a0769113,,contextual semantic priming task,scrambled minus letter string,160-744_spmT_0001_2.nii.gz,"collection_id    160
collection_id    160
Name: 9, dtype: object-744","26341544.0-collection_id    160
collection_id    160
Name: 9, dtype: object-744"
26341544.0,4775464.0,10.1016/j.bandl.2015.08.004,,160,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading,neurovault,Congruent>Scrambled patients,T,images/160/spmT_0003.nii.gz,160,754,20.0,trm_553e73e29cf7d,cnt_55413a13ad2fb,,contextual semantic priming task,congruent minus scrambled,160-754_spmT_0003.nii.gz,"collection_id    160
collection_id    160
Name: 10, dtype: object-754","26341544.0-collection_id    160
collection_id    160
Name: 10, dtype: object-754"
29078345.0,5715758.0,10.1073/pnas.1710521114,,2969,Default mode contributions to automated information processing,neurovault,Acquisition vs Application 1,T,images/2969/Acquisition_greater_than_Application_unthresholded_spmT.nii.gz,2969,55584,28.0,tsk_4a57abb949f21,Other,Acquisition > Application,Wisconsin card sorting test,Other,2969-55584_Acquisition_greater_than_Application_unthresholded_spmT.nii.gz,"collection_id    2969
collection_id    2969
Name: 11, dtype: object-55584","29078345.0-collection_id    2969
collection_id    2969
Name: 11, dtype: object-55584"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,School > Kindergarten group contrast for Go trials at pretest,Z,images/1935/zstat1_T1.nii.gz,1935,29376,44.0,tsk_4a57abb949a93,cnt_4b4a2f2e27574,,go/no-go task,Go trials,1935-29376_zstat1_T1.nii.gz,"collection_id    1935
collection_id    1935
Name: 12, dtype: object-29376","28489500.0-collection_id    1935
collection_id    1935
Name: 12, dtype: object-29376"
28777056.0,6138828.0,10.1162/jocn_a_01174,,1354,Neural Representation of Working Memory Content Is Modulated by Visual Attentional Demand,neurovault,Main Effect of Search Difficulty,T,images/1354/spmT_0001.nii.gz,1354,19037,28.0,trm_4da634216ebbc,Other,,dual-task paradigm,Other,1354-19037_spmT_0001.nii.gz,"collection_id    1354
collection_id    1354
Name: 13, dtype: object-19037","28777056.0-collection_id    1354
collection_id    1354
Name: 13, dtype: object-19037"
29339310.0,5883322.0,10.1016/j.neuroimage.2018.01.017,,2296,Distant from input: Evidence of regions within the default mode network supporting perceptually-decoupled and conceptually-guided cognition,neurovault,Colour 0-back > Rest,Z,images/2296/Uncontrastsed_Colour_0back_zstat1.nii.gz,2296,43794,29.0,trm_4ebd477ab5a11,,,object n-back,None / Other,2296-43794_Uncontrastsed_Colour_0back_zstat1.nii.gz,"collection_id    2296
collection_id    2296
Name: 14, dtype: object-43794","29339310.0-collection_id    2296
collection_id    2296
Name: 14, dtype: object-43794"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,School > Kindergarten group contrast for NoGo trials at posttest,Z,images/1935/zstat1_T2_1.nii.gz,1935,29379,44.0,tsk_4a57abb949a93,cnt_4b4a2f46e2faa,,go/no-go task,Stop trial,1935-29379_zstat1_T2_1.nii.gz,"collection_id    1935
collection_id    1935
Name: 15, dtype: object-29379","28489500.0-collection_id    1935
collection_id    1935
Name: 15, dtype: object-29379"
29490234.0,,,,1871,How Attention Modulates Encoding of Dynamic Stimuli,pubmed,Inter-SC as a function of attentional load,T,images/1871/MM2_Young_DT_pairedTtest.nii.gz,1871,28943,22.0,trm_4c898c33ee5f8,Other,low attnetional load vs high attentional load,encoding task,Other,1871-28943_MM2_Young_DT_pairedTtest.nii.gz,"collection_id    1871
collection_id    1871
Name: 16, dtype: object-28943","29490234.0-collection_id    1871
collection_id    1871
Name: 16, dtype: object-28943"
27996964.0,5170594.0,10.1038/sdata.2016.116,,1866,"Multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks",neurovault,Self-generated Thought > Sensorimotor Control,Z,images/1866/PFOC_3dQwarpMNI_NoNull_LV1_unthr_bsr_lv1_lag3.nii.gz,1866,28944,31.0,trm_4f244d2a54e27,Other,,autobiographical memory task,Other,1866-28944_PFOC_3dQwarpMNI_NoNull_LV1_unthr_bsr_lv1_lag3.nii.gz,"collection_id    1866
collection_id    1866
Name: 17, dtype: object-28944","27996964.0-collection_id    1866
collection_id    1866
Name: 17, dtype: object-28944"
27996964.0,5170594.0,10.1038/sdata.2016.116,,1866,"Multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks",neurovault,Theory of Mind > Autobiographical Memory & Prospection,Z,images/1866/PFOC_3dQwarpMNI_NoNull_LV2_unthr_bsr_lv2_lag4_1.nii.gz,1866,28945,31.0,trm_4f244d2a54e27,cnt_500478a733748,,autobiographical memory task,CS-participant report disparity,1866-28945_PFOC_3dQwarpMNI_NoNull_LV2_unthr_bsr_lv2_lag4_1.nii.gz,"collection_id    1866
collection_id    1866
Name: 18, dtype: object-28945","27996964.0-collection_id    1866
collection_id    1866
Name: 18, dtype: object-28945"
29339310.0,5883322.0,10.1016/j.neuroimage.2018.01.017,,2296,Distant from input: Evidence of regions within the default mode network supporting perceptually-decoupled and conceptually-guided cognition,neurovault,Object 1-back > rest,Z,images/2296/Uncontrasted_Semantic_1back_zstat1.nii.gz,2296,43797,29.0,trm_4ebd477ab5a11,,,object n-back,None / Other,2296-43797_Uncontrasted_Semantic_1back_zstat1.nii.gz,"collection_id    2296
collection_id    2296
Name: 19, dtype: object-43797","29339310.0-collection_id    2296
collection_id    2296
Name: 19, dtype: object-43797"
28129057.0,5362273.0,10.1162/jocn_a_01061,,1873,Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,neurovault,Main Effect of Reward,T,images/1873/0001_T_Cash_pos.nii.gz,1873,28951,77.0,trm_4d559bcd67c18,cnt_55399f4618e42,,balloon analogue risk task,cash average,1873-28951_0001_T_Cash_pos.nii.gz,"collection_id    1873
collection_id    1873
Name: 20, dtype: object-28951","28129057.0-collection_id    1873
collection_id    1873
Name: 20, dtype: object-28951"
28129057.0,5362273.0,10.1162/jocn_a_01061,,1873,Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,neurovault,Main Effect PPI (VS Seed) During Reward,T,images/1873/0001_T_PPI_Cash_pos.nii.gz,1873,28953,77.0,trm_4d559bcd67c18,cnt_55399f4618e42,,balloon analogue risk task,cash average,1873-28953_0001_T_PPI_Cash_pos.nii.gz,"collection_id    1873
collection_id    1873
Name: 21, dtype: object-28953","28129057.0-collection_id    1873
collection_id    1873
Name: 21, dtype: object-28953"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Semantic > baseline corr age correcting for analogy accuracy no threshold,Z,images/1658/ALL_N95_Corr_R2acc_Age_cope1_nomask_zstat3.nii.gz,1658,24798,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24798_ALL_N95_Corr_R2acc_Age_cope1_nomask_zstat3.nii.gz,"collection_id    1658
collection_id    1658
Name: 22, dtype: object-24798","28295877.0-collection_id    1658
collection_id    1658
Name: 22, dtype: object-24798"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Semantic > baseline corr age no threshold,Z,images/1658/ALL_N95_Corr_Age_cope1_nomask_zstat1.nii.gz,1658,24780,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24780_ALL_N95_Corr_Age_cope1_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 23, dtype: object-24780","28295877.0-collection_id    1658
collection_id    1658
Name: 23, dtype: object-24780"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > semantic corr age no threshold,Z,images/1658/ALL_N95_Corr_Age_cope4_nomask_zstat1.nii.gz,1658,24790,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24790_ALL_N95_Corr_Age_cope4_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 24, dtype: object-24790","28295877.0-collection_id    1658
collection_id    1658
Name: 24, dtype: object-24790"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > baseline corr age no threshold,Z,images/1658/ALL_N95_Corr_Age_cope2_nomask_zstat1.nii.gz,1658,24786,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24786_ALL_N95_Corr_Age_cope2_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 25, dtype: object-24786","28295877.0-collection_id    1658
collection_id    1658
Name: 25, dtype: object-24786"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Semantic > baseline corr analogy accuracy correcting for age no threshold,Z,images/1658/ALL_N95_Corr_R2acc_Age_cope1_nomask_zstat1.nii.gz,1658,24796,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24796_ALL_N95_Corr_R2acc_Age_cope1_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 26, dtype: object-24796","28295877.0-collection_id    1658
collection_id    1658
Name: 26, dtype: object-24796"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > baseline corr age correcting for analogy accuracy no threshold,Z,images/1658/ALL_N95_Corr_R2acc_Age_cope2_nomask_zstat3.nii.gz,1658,24806,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24806_ALL_N95_Corr_R2acc_Age_cope2_nomask_zstat3.nii.gz,"collection_id    1658
collection_id    1658
Name: 27, dtype: object-24806","28295877.0-collection_id    1658
collection_id    1658
Name: 27, dtype: object-24806"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > semantic corr age correcting for analogy accuracy no threshold,Z,images/1658/ALL_N95_Corr_R2acc_Age_cope4_nomask_zstat3.nii.gz,1658,24814,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24814_ALL_N95_Corr_R2acc_Age_cope4_nomask_zstat3.nii.gz,"collection_id    1658
collection_id    1658
Name: 28, dtype: object-24814","28295877.0-collection_id    1658
collection_id    1658
Name: 28, dtype: object-24814"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > semantic corr analogy accuracy correcting for age no threshold,Z,images/1658/ALL_N95_Corr_R2acc_Age_cope4_nomask_zstat1.nii.gz,1658,24812,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24812_ALL_N95_Corr_R2acc_Age_cope4_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 29, dtype: object-24812","28295877.0-collection_id    1658
collection_id    1658
Name: 29, dtype: object-24812"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > semantic corr analogy accuracy positive no threshold,Z,images/1658/ALL_N95_Corr_R2acc_cope4_nomask_zstat1.nii.gz,1658,24826,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24826_ALL_N95_Corr_R2acc_cope4_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 30, dtype: object-24826","28295877.0-collection_id    1658
collection_id    1658
Name: 30, dtype: object-24826"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > baseline corr analogy accuracy positive no threshold,Z,images/1658/ALL_N95_Corr_R2acc_cope2_nomask_zstat1.nii.gz,1658,24824,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24824_ALL_N95_Corr_R2acc_cope2_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 31, dtype: object-24824","28295877.0-collection_id    1658
collection_id    1658
Name: 31, dtype: object-24824"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Semantic > baseline corr analogy accuracy no threshold,Z,images/1658/ALL_N95_Corr_R2acc_cope1_nomask_zstat1.nii.gz,1658,24820,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24820_ALL_N95_Corr_R2acc_cope1_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 32, dtype: object-24820","28295877.0-collection_id    1658
collection_id    1658
Name: 32, dtype: object-24820"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > baseline average no threshold,Z,images/1658/ALL_N95_Mean_cope2_zstat1.nii.gz,1658,24834,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24834_ALL_N95_Mean_cope2_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 33, dtype: object-24834","28295877.0-collection_id    1658
collection_id    1658
Name: 33, dtype: object-24834"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_NegUrgency_PositiveContrast_zstat,Z,images/1848/zstat6.nii.gz,1848,28767,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28767_zstat6.nii.gz,"collection_id    1848
collection_id    1848
Name: 34, dtype: object-28767","27989844.0-collection_id    1848
collection_id    1848
Name: 34, dtype: object-28767"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_Premeditation_PositiveContrast_zstat,Z,images/1848/zstat7.nii.gz,1848,28768,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28768_zstat7.nii.gz,"collection_id    1848
collection_id    1848
Name: 35, dtype: object-28768","27989844.0-collection_id    1848
collection_id    1848
Name: 35, dtype: object-28768"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Analogy > semantic average no threshold,Z,images/1658/ALL_N95_Mean_cope4_nomask_zstat1.nii.gz,1658,24840,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24840_ALL_N95_Mean_cope4_nomask_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 36, dtype: object-24840","28295877.0-collection_id    1658
collection_id    1658
Name: 36, dtype: object-24840"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_Perseverance_PositiveContrast_zstat,Z,images/1848/zstat8.nii.gz,1848,28769,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28769_zstat8.nii.gz,"collection_id    1848
collection_id    1848
Name: 37, dtype: object-28769","27989844.0-collection_id    1848
collection_id    1848
Name: 37, dtype: object-28769"
28295877.0,5887920.0,10.1111/desc.12531,,1658,Neuroscientific insights into the development of analogical reasoning,neurovault,Semantic > baseline average no threshold,Z,images/1658/ALL_N95_Mean_cope1_zstat1.nii.gz,1658,24830,95.0,trm_4f244f0286947,,,analogical reasoning task,None / Other,1658-24830_ALL_N95_Mean_cope1_zstat1.nii.gz,"collection_id    1658
collection_id    1658
Name: 38, dtype: object-24830","28295877.0-collection_id    1658
collection_id    1658
Name: 38, dtype: object-24830"
28129057.0,5362273.0,10.1162/jocn_a_01061,,1873,Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,neurovault,Main Effect PPI (OFC Seed) During Risk,T,images/1873/0001_T_PPI_PumpsCash_pos_1.nii.gz,1873,28956,77.0,trm_4d559bcd67c18,cnt_55399f7c60721,,balloon analogue risk task,pumps average,1873-28956_0001_T_PPI_PumpsCash_pos_1.nii.gz,"collection_id    1873
collection_id    1873
Name: 39, dtype: object-28956","28129057.0-collection_id    1873
collection_id    1873
Name: 39, dtype: object-28956"
24305817.0,3850042.0,10.1523/JNEUROSCI.2649-13.2013,,417,Simultaneous EEG-fMRI Reveals Temporal Evolution of Coupling between Supramodal Cortical Attention Networks and the Brainstem,neurovault,model001 task002 cope006 tstat1,T,images/417/model001_task002_cope006_tstat1.nii.gz,417,2718,17.0,tsk_4a57abb949bf6,cnt_553a7710d845a,visual standard,oddball task,visual standard stimulus presentation,417-2718_model001_task002_cope006_tstat1.nii.gz,"collection_id    417
collection_id    417
Name: 40, dtype: object-2718","24305817.0-collection_id    417
collection_id    417
Name: 40, dtype: object-2718"
28489500.0,,10.1177/0956797617699838,,1935,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,neurovault,School > Kindergarten group contrast for NoGo trials at pretest,Z,images/1935/zstat1_T1_1.nii.gz,1935,29378,44.0,tsk_4a57abb949a93,cnt_4b4a2f46e2faa,,go/no-go task,Stop trial,1935-29378_zstat1_T1_1.nii.gz,"collection_id    1935
collection_id    1935
Name: 41, dtype: object-29378","28489500.0-collection_id    1935
collection_id    1935
Name: 41, dtype: object-29378"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_PosUrgency_PositiveContrast_zstat,Z,images/1848/zstat10.nii.gz,1848,28772,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28772_zstat10.nii.gz,"collection_id    1848
collection_id    1848
Name: 42, dtype: object-28772","27989844.0-collection_id    1848
collection_id    1848
Name: 42, dtype: object-28772"
30013923.0,6024199.0,10.1016/j.nicl.2018.05.009,,3400,Neural responses to emotional involuntary memories in posttraumatic stress disorder: Differences in timing and activity,neurovault,Memory Model: Group x Time Interaction,T,images/3400/spmT_0008.nii.gz,3400,60052,42.0,trm_4c898c8bf1b4f,cnt_4de96cd8c9aad,,episodic recall,number of correct identifications,3400-60052_spmT_0008.nii.gz,"collection_id    3400
collection_id    3400
Name: 43, dtype: object-60052","30013923.0-collection_id    3400
collection_id    3400
Name: 43, dtype: object-60052"
30013923.0,6024199.0,10.1016/j.nicl.2018.05.009,,3400,Neural responses to emotional involuntary memories in posttraumatic stress disorder: Differences in timing and activity,neurovault,Emotion Model: Main Effect of Group,T,images/3400/spmT_0020.nii.gz,3400,60053,42.0,trm_4c898c8bf1b4f,cnt_4de96cd8c9aad,,episodic recall,number of correct identifications,3400-60053_spmT_0020.nii.gz,"collection_id    3400
collection_id    3400
Name: 44, dtype: object-60053","30013923.0-collection_id    3400
collection_id    3400
Name: 44, dtype: object-60053"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_NegUrgency_NegativeContrast_zstat,Z,images/1848/zstat11.nii.gz,1848,28773,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28773_zstat11.nii.gz,"collection_id    1848
collection_id    1848
Name: 45, dtype: object-28773","27989844.0-collection_id    1848
collection_id    1848
Name: 45, dtype: object-28773"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_Premeditation_NegativeContrast_zstat,Z,images/1848/zstat12.nii.gz,1848,28774,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28774_zstat12.nii.gz,"collection_id    1848
collection_id    1848
Name: 46, dtype: object-28774","27989844.0-collection_id    1848
collection_id    1848
Name: 46, dtype: object-28774"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_Perseverance_NegativeContrast_zstat,Z,images/1848/zstat13.nii.gz,1848,28775,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28775_zstat13.nii.gz,"collection_id    1848
collection_id    1848
Name: 47, dtype: object-28775","27989844.0-collection_id    1848
collection_id    1848
Name: 47, dtype: object-28775"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_SensSeek_NegativeContrast_zstat,Z,images/1848/zstat14.nii.gz,1848,28776,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28776_zstat14.nii.gz,"collection_id    1848
collection_id    1848
Name: 48, dtype: object-28776","27989844.0-collection_id    1848
collection_id    1848
Name: 48, dtype: object-28776"
29911176.0,6001266.0,10.1523/ENEURO.0263-17.2018,,1950,Differences in Hearing Acuity among “Normal-Hearing” Young Adults Modulate the Neural Basis for Speech Comprehension,neurovault,regression (correct trials against pure tone audiometry) ,T,images/1950/gap_regress_corr_against_pta_n35.nii.gz,1950,39056,35.0,trm_5667441c338a7,,,2nd-order rule acquisition,None / Other,1950-39056_gap_regress_corr_against_pta_n35.nii.gz,"collection_id    1950
collection_id    1950
Name: 49, dtype: object-39056","29911176.0-collection_id    1950
collection_id    1950
Name: 49, dtype: object-39056"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_PosUrgency_NegativeContrast_zstat,Z,images/1848/zstat15.nii.gz,1848,28777,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28777_zstat15.nii.gz,"collection_id    1848
collection_id    1848
Name: 50, dtype: object-28777","27989844.0-collection_id    1848
collection_id    1848
Name: 50, dtype: object-28777"
23066083.0,,10.1126/science.1223252,,2389,Preference by Association: How Memory Mechanisms in the Hippocampus Bias Decisions,neurovault,Reward phase outcome reward prediction error,T,images/2389/spmT_0001_1.nii.gz,2389,43804,28.0,trm_4c898acd1f28e,Other,Parametric: model-derived basic stimulus value / reward prediction error at stimulus onset.,pavlovian conditioning task,Other,2389-43804_spmT_0001_1.nii.gz,"collection_id    2389
collection_id    2389
Name: 51, dtype: object-43804","23066083.0-collection_id    2389
collection_id    2389
Name: 51, dtype: object-43804"
27989844.0,,10.1016/j.neuroimage.2016.10.041,,1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,neurovault,Seed_s1_zfstat,Z,images/1848/zfstat1.nii.gz,1848,28778,204.0,trm_56a91a92043bc,,,UPPS-P Impulsivity Scale,None / Other,1848-28778_zfstat1.nii.gz,"collection_id    1848
collection_id    1848
Name: 52, dtype: object-28778","27989844.0-collection_id    1848
collection_id    1848
Name: 52, dtype: object-28778"
